                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5633,                 8.4949,                 4.3233,                      0,                      0,                      0,                      0,                  5.801,                 7.5653,                 4.1584,              3.892e-05,              3.892e-05,              3.892e-05
                      2,                 5.7831,                 8.2658,                 4.2706,                      0,                      0,                      0,                      0,                 5.7992,                  7.569,                 4.1577,             8.0097e-05,             8.0097e-05,             8.0097e-05
                      3,                 5.7915,                 7.7224,                 4.2819,                      0,                      0,                      0,                      0,                 5.7973,                  7.579,                 4.1574,             0.00011775,             0.00011775,             0.00011775
                      4,                 5.5119,                 8.1947,                   4.27,                      0,                      0,                      0,                      0,                 5.7949,                 7.5957,                 4.1578,             0.00015188,             0.00015188,             0.00015188
                      5,                 5.4656,                 7.6843,                 4.2661,                      0,                      0,                      0,                      0,                 5.7924,                 7.6083,                 4.1596,             0.00018249,             0.00018249,             0.00018249
                      6,                  5.317,                 7.6402,                 4.1334,                      0,                      0,                      0,                      0,                 5.7899,                 7.6107,                 4.1644,             0.00020958,             0.00020958,             0.00020958
                      7,                 4.9669,                 7.7963,                  4.045,                      0,                      0,                      0,                      0,                 5.7884,                 7.6093,                 4.1725,             0.00023314,             0.00023314,             0.00023314
                      8,                 4.9513,                 6.6948,                 3.9823,                      0,                      0,                      0,                      0,                 5.7864,                 7.5963,                 4.1848,             0.00025318,             0.00025318,             0.00025318
                      9,                 4.8174,                 6.1683,                  3.888,                      0,                      0,                      0,                      0,                 5.7848,                 7.5799,                 4.1979,              0.0002697,              0.0002697,              0.0002697
                     10,                 4.4931,                 5.6651,                 3.6877,                      0,                      0,                      0,                      0,                 5.7816,                 7.5585,                 4.2028,             0.00028269,             0.00028269,             0.00028269
                     11,                 4.4579,                 5.6825,                 3.7047,                      0,                      0,                      0,                      0,                 5.7729,                 7.5189,                 4.2063,             0.00029217,             0.00029217,             0.00029217
                     12,                 4.3482,                  5.241,                 3.4839,                      0,                      0,                      0,                      0,                  5.767,                 7.4916,                 4.2092,             0.00029812,             0.00029812,             0.00029812
                     13,                  4.045,                 5.4789,                  3.457,                      0,                      0,                      0,                      0,                 5.7587,                 7.4527,                 4.2008,             0.00029179,             0.00029179,             0.00029179
                     14,                  4.171,                 5.3157,                 3.6425,                      0,                      0,                      0,                      0,                 5.7292,                 7.3488,                 4.1424,             0.00026977,             0.00026977,             0.00026977
                     15,                 3.9831,                  4.951,                 3.3577,                      0,                      0,                      0,                      0,                 5.5261,                 6.9071,                 3.8921,             0.00024775,             0.00024775,             0.00024775
                     16,                  4.112,                 6.8939,                 3.0901,                0.00236,                0.06667,                0.05439,                0.00759,                 4.7714,                 5.7645,                 3.4297,             0.00022574,             0.00022574,             0.00022574
                     17,                 3.8617,                 6.4718,                 3.0747,                0.00607,                 0.1145,                0.03372,                 0.0108,                 4.0698,                 4.9283,                 2.9489,             0.00020372,             0.00020372,             0.00020372
                     18,                 3.7845,                 5.9848,                 2.8917,                0.86944,                0.06905,                0.05644,                0.01419,                 3.8322,                 4.7348,                 2.7535,              0.0001817,              0.0001817,              0.0001817
                     19,                 3.7656,                 6.0331,                 2.9375,                0.87485,                0.05476,                0.08015,                0.02245,                 3.6542,                 4.3522,                 2.6255,             0.00015968,             0.00015968,             0.00015968
                     20,                 3.5066,                 5.7294,                 2.8333,                0.86468,                0.10207,                0.10072,                0.02822,                 3.6133,                 4.1804,                 2.5744,             0.00013767,             0.00013767,             0.00013767
                     21,                  3.582,                  5.841,                 2.8813,                0.87111,                0.10022,                0.10134,                0.02726,                 3.4736,                 4.2031,                 2.4858,             0.00011565,             0.00011565,             0.00011565
                     22,                 3.8485,                 6.2222,                 2.9895,                0.93107,                0.09697,                0.10736,                0.04228,                 3.3586,                 4.1996,                 2.3823,              9.363e-05,              9.363e-05,              9.363e-05
                     23,                 3.6288,                 5.8725,                 2.7381,                0.90537,                 0.1021,                 0.1057,                0.03991,                 3.3531,                 4.3044,                 2.3787,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     24,                 3.5377,                  5.512,                 2.7348,                0.95214,                0.05476,                0.08228,                0.03245,                 3.3612,                 4.2951,                 2.4079,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     25,                 3.4352,                 5.5959,                  2.671,                0.95219,                0.05476,                0.07856,                0.03006,                 3.3857,                 4.3394,                 2.4112,             2.7578e-05,             2.7578e-05,             2.7578e-05
