2023-08-23,educação,Central Descartaveis,11.00
2023-08-23,restaurante,Pag*Lindakitsfestas,3.50
2023-08-23,restaurante,Padaria Santa Rita,4.00
2023-08-22,restaurante,Padaria Santa Rita,6.37
2023-08-20,restaurante,Padaria Santa Rita,4.00
2023-08-17,restaurante,Padaria Santa Rita,4.00
2023-08-16,restaurante,Padaria Santa Rita,2.34
2023-08-16,eletrônicos,Clube Itech,65.00
2023-08-16,restaurante,Padaria Santa Rita,13.52
2023-08-15,restaurante,Padaria Santa Rita,5.00
2023-08-15,vestuário,Shopee *Shopbagoficial,26.67
2023-08-15,payment,Pagamento recebido,-31.67
2023-10-08,restaurante,Padaria Santa Rita,1.85
2023-10-06,restaurante,Padaria Santa Rita,4.00
2023-10-06,restaurante,Padaria Santa Rita,9.00
2023-10-03,reversal_brazil_settled,Crédito de "Shopee*761677568442431",-13.50
2023-09-30,outros,Shopee*761677568442431,14.14
2023-09-30,restaurante,Padaria Santa Rita,4.00
2023-09-30,outros,Shopee*144316769995623,11.45
2023-09-29,serviços,Controle Fac*819934659,59.90
2023-09-28,restaurante,Padaria Santa Rita,4.00
2023-09-28,restaurante,Padaria Santa Rita,10.17
2023-09-26,restaurante,Padaria Santa Rita,1.85
2023-09-26,serviços,Apag*Sandro de Sou,9.00
2023-09-24,supermercado,Padaria Santa Helena,6.60
2023-09-24,restaurante,Padaria Santa Rita,4.00
2023-09-23,charge,CELPE,92.98
2023-09-23,charge,COMPESA PE,33.38
2023-09-23,restaurante,Padaria Santa Rita,1.85
2023-09-22,restaurante,Maralco Comercio de Al,13.50
2023-09-22,serviços,Apag*Sandro de Sou,8.00
2023-09-22,serviços,Claro Lj Shop Recife,10.00
2023-09-21,restaurante,Padaria Santa Rita,4.34
2023-09-20,restaurante,Padaria Santa Rita,12.00
2023-09-19,restaurante,Padaria Santa Rita,2.34
2023-09-18,casa,Atacadao 150 As,169.65
2023-09-15,eletrônicos,Dm*Sheincom,13.77
2023-09-15,restaurante,Padaria Santa Rita,18.69
2023-09-14,serviços,Aliexpress 2/2,75.31
2023-09-14,eletrônicos,Clube Itech 2/2,65.00
2023-09-14,vestuário,Shopee *Shopbagoficial 2/3,26.66
2023-09-14,supermercado,Supermercado Arco Iris 2/2,49.13
2023-09-14,educação,Shopee*Rinascente 2/2,11.49
2023-11-12,serviços,Claro *81993465922,59.90
2023-11-09,payment,Pagamento recebido,-422.35
2023-10-17,restaurante,Padaria Santa Rita,14.00
2023-10-17,eletrônicos,Amazon Marketplace,128.15
2023-10-16,serviços,Brisanet*Internet,89.89
2023-10-16,payment,Pagamento recebido,-2.00
2023-10-14,outros,Shopee*761677568442431 2/3,14.12
2023-10-14,payment,Pagamento recebido,-734.54
2023-10-14,outros,Shopee*144316769995623 2/2,11.45
2023-10-14,eletrônicos,Dm*Sheincom 2/6,13.73
2023-10-14,charge,CELPE 2/3,92.98
2023-10-14,charge,COMPESA PE 2/2,33.38
2023-10-14,vestuário,Shopee *Shopbagoficial 3/3,26.66
2023-12-03,restaurante,Padaria Santa Rita,24.00
2023-12-02,restaurante,Padaria Santa Rita,6.20
2023-12-02,restaurante,Pag*Marcelocristianda,3.67
2023-12-02,restaurante,Pag*Valdeniateixeira,57.75
2023-12-01,restaurante,Pag*Marcelocristianda,7.35
2023-11-30,restaurante,Pag*Marcelocristianda,3.67
2023-11-30,restaurante,Cantina do Sabor,18.00
2023-11-30,restaurante,Padaria Santa Rita,4.20
2023-11-29,restaurante,Lucidario Silvestre,16.62
2023-11-28,restaurante,Pag*Marcelocristianda,3.67
2023-11-28,restaurante,Pag*Marcelocristianda,3.67
2023-11-27,restaurante,Lucidario Silvestre,11.42
2023-11-25,restaurante,Pag*Marcelocristianda,3.67
2023-11-23,outros,Pg *Ton Sandro de So,17.00
2023-11-21,restaurante,Padaria Santa Rita,11.27
2023-11-19,restaurante,Padaria Santa Rita,12.25
2023-11-19,payment,Pagamento recebido,-59.90
